information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_43745~SEND~15min (15min.lt)~B-ID-207~IP-319~0~0~7~Sim4
InfoAct_id_43746~SEND~15min (15min.lt)~B-ID-207~IP-323~0~0~7~Sim4
InfoAct_id_43747~SEND~15min (15min.lt)~B-ID-207~IP-327~0~0~7~Sim4
InfoAct_id_43748~SEND~15min (15min.lt)~B-ID-207~IP-331~0~0~7~Sim4
InfoAct_id_43749~SEND~15min (15min.lt)~B-ID-207~IP-335~0~0~7~Sim4
InfoAct_id_43750~SEND~15min (15min.lt)~B-ID-207~IP-339~0~0~7~Sim4
InfoAct_id_43751~SEND~15min (15min.lt)~B-ID-211~IP-274~0~0~7~Sim4
InfoAct_id_43752~SEND~15min (15min.lt)~B-ID-211~IP-278~0~0~7~Sim4
InfoAct_id_43753~SEND~15min (15min.lt)~B-ID-211~IP-282~0~0~7~Sim4
InfoAct_id_43754~SEND~15min (15min.lt)~B-ID-211~IP-286~0~0~7~Sim4
InfoAct_id_43755~SEND~15min (15min.lt)~B-ID-211~IP-290~0~0~7~Sim4
InfoAct_id_43756~SEND~15min (15min.lt)~B-ID-211~IP-307~0~0~7~Sim4
InfoAct_id_43757~SEND~15min (15min.lt)~B-ID-211~IP-311~0~0~7~Sim4
InfoAct_id_43758~SEND~15min (15min.lt)~B-ID-211~IP-315~0~0~7~Sim4
InfoAct_id_43759~SEND~15min (15min.lt)~B-ID-211~IP-319~0~0~7~Sim4
InfoAct_id_43760~SEND~15min (15min.lt)~B-ID-211~IP-323~0~0~7~Sim4
InfoAct_id_43761~SEND~15min (15min.lt)~B-ID-211~IP-327~0~0~7~Sim4
InfoAct_id_43762~SEND~15min (15min.lt)~B-ID-211~IP-331~0~0~7~Sim4
InfoAct_id_43763~SEND~15min (15min.lt)~B-ID-211~IP-335~0~0~7~Sim4
InfoAct_id_43764~SEND~15min (15min.lt)~B-ID-211~IP-339~0~0~7~Sim4
InfoAct_id_43765~SEND~15min (15min.lt)~B-ID-222~IP-274~0~0~7~Sim4
InfoAct_id_43766~SEND~15min (15min.lt)~B-ID-222~IP-278~0~0~7~Sim4
InfoAct_id_43767~SEND~15min (15min.lt)~B-ID-222~IP-282~0~0~7~Sim4
InfoAct_id_43768~SEND~15min (15min.lt)~B-ID-222~IP-286~0~0~7~Sim4
InfoAct_id_43769~SEND~15min (15min.lt)~B-ID-222~IP-290~0~0~7~Sim4
InfoAct_id_43770~SEND~15min (15min.lt)~B-ID-222~IP-307~0~0~7~Sim4
InfoAct_id_43771~SEND~15min (15min.lt)~B-ID-222~IP-311~0~0~7~Sim4
InfoAct_id_43772~SEND~15min (15min.lt)~B-ID-222~IP-315~0~0~7~Sim4
InfoAct_id_43773~SEND~15min (15min.lt)~B-ID-222~IP-319~0~0~7~Sim4
InfoAct_id_43774~SEND~15min (15min.lt)~B-ID-222~IP-323~0~0~7~Sim4
InfoAct_id_43775~SEND~15min (15min.lt)~B-ID-222~IP-327~0~0~7~Sim4
InfoAct_id_43776~SEND~15min (15min.lt)~B-ID-222~IP-331~0~0~7~Sim4
InfoAct_id_43777~SEND~15min (15min.lt)~B-ID-222~IP-335~0~0~7~Sim4
InfoAct_id_43778~SEND~15min (15min.lt)~B-ID-222~IP-339~0~0~7~Sim4
InfoAct_id_43779~SEND~15min (15min.lt)~B-ID-226~IP-274~0~0~7~Sim4
InfoAct_id_43780~SEND~15min (15min.lt)~B-ID-226~IP-278~0~0~7~Sim4
InfoAct_id_43781~SEND~15min (15min.lt)~B-ID-226~IP-282~0~0~7~Sim4
InfoAct_id_43782~SEND~15min (15min.lt)~B-ID-226~IP-286~0~0~7~Sim4
InfoAct_id_43783~SEND~15min (15min.lt)~B-ID-226~IP-290~0~0~7~Sim4
InfoAct_id_43784~SEND~15min (15min.lt)~B-ID-226~IP-307~0~0~7~Sim4
InfoAct_id_43785~SEND~15min (15min.lt)~B-ID-226~IP-311~0~0~7~Sim4
InfoAct_id_43786~SEND~15min (15min.lt)~B-ID-226~IP-315~0~0~7~Sim4
InfoAct_id_43787~SEND~15min (15min.lt)~B-ID-226~IP-319~0~0~7~Sim4
InfoAct_id_43788~SEND~15min (15min.lt)~B-ID-226~IP-323~0~0~7~Sim4
InfoAct_id_43789~SEND~15min (15min.lt)~B-ID-226~IP-327~0~0~7~Sim4
InfoAct_id_43790~SEND~15min (15min.lt)~B-ID-226~IP-331~0~0~7~Sim4
InfoAct_id_43791~SEND~15min (15min.lt)~B-ID-226~IP-335~0~0~7~Sim4
InfoAct_id_43792~SEND~15min (15min.lt)~B-ID-226~IP-339~0~0~7~Sim4
InfoAct_id_43793~SEND~15min (15min.lt)~B-ID-228~IP-274~0~0~7~Sim4
InfoAct_id_43794~SEND~15min (15min.lt)~B-ID-228~IP-278~0~0~7~Sim4
InfoAct_id_43795~SEND~15min (15min.lt)~B-ID-228~IP-282~0~0~7~Sim4
InfoAct_id_43796~SEND~15min (15min.lt)~B-ID-228~IP-286~0~0~7~Sim4
InfoAct_id_43797~SEND~15min (15min.lt)~B-ID-228~IP-290~0~0~7~Sim4
InfoAct_id_43798~SEND~15min (15min.lt)~B-ID-228~IP-307~0~0~7~Sim4
InfoAct_id_43799~SEND~15min (15min.lt)~B-ID-228~IP-311~0~0~7~Sim4
InfoAct_id_43800~SEND~15min (15min.lt)~B-ID-228~IP-315~0~0~7~Sim4
InfoAct_id_43801~SEND~15min (15min.lt)~B-ID-228~IP-319~0~0~7~Sim4
InfoAct_id_43802~SEND~15min (15min.lt)~B-ID-228~IP-323~0~0~7~Sim4
InfoAct_id_43803~SEND~15min (15min.lt)~B-ID-228~IP-327~0~0~7~Sim4
InfoAct_id_43804~SEND~15min (15min.lt)~B-ID-228~IP-331~0~0~7~Sim4
InfoAct_id_43805~SEND~15min (15min.lt)~B-ID-228~IP-335~0~0~7~Sim4
InfoAct_id_43806~SEND~15min (15min.lt)~B-ID-228~IP-339~0~0~7~Sim4
InfoAct_id_43807~SEND~15min (15min.lt)~B-ID-229~IP-274~0~0~7~Sim4
InfoAct_id_43808~SEND~15min (15min.lt)~B-ID-229~IP-278~0~0~7~Sim4
InfoAct_id_43809~SEND~15min (15min.lt)~B-ID-229~IP-282~0~0~7~Sim4
InfoAct_id_43810~SEND~15min (15min.lt)~B-ID-229~IP-286~0~0~7~Sim4
InfoAct_id_43811~SEND~15min (15min.lt)~B-ID-229~IP-290~0~0~7~Sim4
InfoAct_id_43812~SEND~15min (15min.lt)~B-ID-229~IP-307~0~0~7~Sim4
InfoAct_id_43813~SEND~15min (15min.lt)~B-ID-229~IP-311~0~0~7~Sim4
InfoAct_id_43814~SEND~15min (15min.lt)~B-ID-229~IP-315~0~0~7~Sim4
InfoAct_id_43815~SEND~15min (15min.lt)~B-ID-229~IP-319~0~0~7~Sim4
InfoAct_id_43816~SEND~15min (15min.lt)~B-ID-229~IP-323~0~0~7~Sim4
InfoAct_id_43817~SEND~15min (15min.lt)~B-ID-229~IP-327~0~0~7~Sim4
InfoAct_id_43818~SEND~15min (15min.lt)~B-ID-229~IP-331~0~0~7~Sim4
InfoAct_id_43819~SEND~15min (15min.lt)~B-ID-229~IP-335~0~0~7~Sim4
InfoAct_id_43820~SEND~15min (15min.lt)~B-ID-229~IP-339~0~0~7~Sim4
InfoAct_id_43821~SEND~15min (15min.lt)~B-ID-236~IP-274~0~0~7~Sim4
InfoAct_id_43822~SEND~15min (15min.lt)~B-ID-236~IP-278~0~0~7~Sim4
InfoAct_id_43823~SEND~15min (15min.lt)~B-ID-236~IP-282~0~0~7~Sim4
InfoAct_id_43824~SEND~15min (15min.lt)~B-ID-236~IP-286~0~0~7~Sim4
InfoAct_id_43825~SEND~15min (15min.lt)~B-ID-236~IP-290~0~0~7~Sim4
InfoAct_id_43826~SEND~15min (15min.lt)~B-ID-236~IP-307~0~0~7~Sim4
InfoAct_id_43827~SEND~15min (15min.lt)~B-ID-236~IP-311~0~0~7~Sim4
InfoAct_id_43828~SEND~15min (15min.lt)~B-ID-236~IP-315~0~0~7~Sim4
InfoAct_id_43829~SEND~15min (15min.lt)~B-ID-236~IP-319~0~0~7~Sim4
InfoAct_id_43830~SEND~15min (15min.lt)~B-ID-236~IP-323~0~0~7~Sim4
InfoAct_id_43831~SEND~15min (15min.lt)~B-ID-236~IP-327~0~0~7~Sim4
InfoAct_id_43832~SEND~15min (15min.lt)~B-ID-236~IP-331~0~0~7~Sim4
InfoAct_id_43833~SEND~15min (15min.lt)~B-ID-236~IP-335~0~0~7~Sim4
InfoAct_id_43834~SEND~15min (15min.lt)~B-ID-236~IP-339~0~0~7~Sim4
InfoAct_id_43835~SEND~15min (15min.lt)~B-ID-240~IP-274~0~0~7~Sim4
InfoAct_id_43836~SEND~15min (15min.lt)~B-ID-240~IP-278~0~0~7~Sim4
InfoAct_id_43837~SEND~15min (15min.lt)~B-ID-240~IP-282~0~0~7~Sim4
InfoAct_id_43838~SEND~15min (15min.lt)~B-ID-240~IP-286~0~0~7~Sim4
InfoAct_id_43839~SEND~15min (15min.lt)~B-ID-240~IP-290~0~0~7~Sim4
